date,state,county,retail,grocery,parks,transit,workplaces,residential,Non_Residential
2020-03-02,Virginia,Accomack County,9.0,8.0,,,5.0,1.0,7.333333333333333
2020-03-02,Virginia,Albemarle County,6.0,4.0,,1.0,-9.0,1.0,0.5
2020-03-02,Virginia,Alexandria,1.0,6.0,21.0,-2.0,6.0,-1.0,6.4
2020-03-02,Virginia,Alleghany County,24.0,,,-2.0,5.0,,9.0
2020-03-02,Virginia,Amelia County,16.0,-7.0,,,8.0,,5.666666666666667
2020-03-02,Virginia,Amherst County,15.0,5.0,,,6.0,-2.0,8.666666666666666
2020-03-02,Virginia,Appomattox County,6.0,-21.0,,,10.0,,-1.6666666666666667
2020-03-02,Virginia,Arlington County,5.0,2.0,-25.0,3.0,2.0,0.0,-2.6
2020-03-02,Virginia,Augusta County,10.0,7.0,,50.0,1.0,0.0,17.0
2020-03-02,Virginia,Bedford County,5.0,2.0,,,2.0,0.0,3.0
2020-03-02,Virginia,Bland County,,,,19.0,,,19.0
2020-03-02,Virginia,Botetourt County,-4.0,11.0,,-7.0,3.0,1.0,0.75
2020-03-02,Virginia,Bristol,15.0,7.0,,,1.0,,7.666666666666667
2020-03-02,Virginia,Brunswick County,5.0,,,8.0,5.0,,6.0
2020-03-02,Virginia,Buchanan County,18.0,11.0,,,2.0,,10.333333333333334
2020-03-02,Virginia,Buckingham County,18.0,6.0,,,2.0,,8.666666666666666
2020-03-02,Virginia,Buena Vista,,,,,-4.0,,-4.0
2020-03-02,Virginia,Campbell County,14.0,2.0,,,1.0,0.0,5.666666666666667
2020-03-02,Virginia,Caroline County,5.0,-15.0,,5.0,3.0,-1.0,-0.5
2020-03-02,Virginia,Carroll County,21.0,5.0,,5.0,6.0,-1.0,9.25
2020-03-02,Virginia,Charles City County,,,,,5.0,,5.0
2020-03-02,Virginia,Charlotte County,,16.0,,,4.0,,10.0
2020-03-02,Virginia,Charlottesville,5.0,2.0,5.0,-17.0,-5.0,1.0,-2.0
2020-03-02,Virginia,Chesapeake,13.0,1.0,50.0,14.0,4.0,-1.0,16.4
2020-03-02,Virginia,Chesterfield County,8.0,5.0,20.0,8.0,3.0,-1.0,8.8
2020-03-02,Virginia,Clarke County,15.0,2.0,,,1.0,,6.0
2020-03-02,Virginia,Colonial Heights,11.0,7.0,,,6.0,,8.0
2020-03-02,Virginia,Covington,24.0,,,,,,24.0
2020-03-02,Virginia,Culpeper County,7.0,12.0,,,2.0,-1.0,7.0
2020-03-02,Virginia,Cumberland County,,,,,6.0,,6.0
2020-03-02,Virginia,Danville,18.0,20.0,,,1.0,-1.0,13.0
2020-03-02,Virginia,Dickenson County,,28.0,,,6.0,,17.0
2020-03-02,Virginia,Dinwiddie County,67.0,-19.0,,,3.0,-1.0,17.0
2020-03-02,Virginia,Emporia,8.0,1.0,,20.0,,,9.666666666666666
2020-03-02,Virginia,Essex County,12.0,-3.0,,,4.0,,4.333333333333333
2020-03-02,Virginia,Fairfax,-1.0,3.0,,,10.0,-1.0,4.0
2020-03-02,Virginia,Fairfax County,2.0,3.0,-2.0,-1.0,5.0,0.0,1.4
2020-03-02,Virginia,Falls Church,3.0,5.0,,,-2.0,,2.0
2020-03-02,Virginia,Fauquier County,0.0,-13.0,,,2.0,-1.0,-3.6666666666666665
2020-03-02,Virginia,Floyd County,,8.0,,,1.0,,4.5
2020-03-02,Virginia,Fluvanna County,-11.0,9.0,,,1.0,,-0.3333333333333333
2020-03-02,Virginia,Franklin,24.0,9.0,,5.0,3.0,,10.25
2020-03-02,Virginia,Franklin County,15.0,4.0,,,5.0,-1.0,8.0
2020-03-02,Virginia,Frederick County,10.0,0.0,6.0,14.0,-6.0,1.0,4.8
2020-03-02,Virginia,Fredericksburg,8.0,7.0,,,2.0,-2.0,5.666666666666667
2020-03-02,Virginia,Galax,14.0,18.0,,,-11.0,,7.0
2020-03-02,Virginia,Giles County,11.0,-2.0,,,6.0,,5.0
2020-03-02,Virginia,Gloucester County,10.0,16.0,,,6.0,-1.0,10.666666666666666
2020-03-02,Virginia,Goochland County,8.0,3.0,,,6.0,,5.666666666666667
2020-03-02,Virginia,Grayson County,,,,,8.0,,8.0
2020-03-02,Virginia,Greene County,9.0,-2.0,,,1.0,,2.6666666666666665
2020-03-02,Virginia,Greensville County,,,,8.0,0.0,,4.0
2020-03-02,Virginia,Halifax County,12.0,6.0,,,6.0,0.0,8.0
2020-03-02,Virginia,Hampton,10.0,17.0,23.0,14.0,5.0,-1.0,13.8
2020-03-02,Virginia,Hanover County,7.0,2.0,,1.0,2.0,0.0,3.0
2020-03-02,Virginia,Harrisonburg,7.0,6.0,,2.0,4.0,0.0,4.75
2020-03-02,Virginia,Henrico County,8.0,7.0,26.0,5.0,4.0,-1.0,10.0
2020-03-02,Virginia,Henry County,15.0,-2.0,,,7.0,0.0,6.666666666666667
2020-03-02,Virginia,Hopewell,25.0,8.0,,,9.0,-2.0,14.0
2020-03-02,Virginia,Isle of Wight County,11.0,10.0,,,3.0,-1.0,8.0
2020-03-02,Virginia,James City County,10.0,12.0,,,4.0,-2.0,8.666666666666666
2020-03-02,Virginia,King George County,6.0,2.0,,,3.0,0.0,3.6666666666666665
2020-03-02,Virginia,King William County,5.0,5.0,,,2.0,,4.0
2020-03-02,Virginia,King and Queen County,,,,,0.0,,0.0
2020-03-02,Virginia,Lancaster County,19.0,41.0,,,9.0,,23.0
2020-03-02,Virginia,Lee County,25.0,6.0,,,1.0,,10.666666666666666
2020-03-02,Virginia,Lexington,-3.0,-3.0,,,,,-3.0
2020-03-02,Virginia,Loudoun County,2.0,1.0,1.0,-9.0,2.0,-1.0,-0.6
2020-03-02,Virginia,Louisa County,14.0,5.0,,,3.0,0.0,7.333333333333333
2020-03-02,Virginia,Lunenburg County,,18.0,,,5.0,,11.5
2020-03-02,Virginia,Lynchburg,11.0,7.0,,-2.0,1.0,0.0,4.25
2020-03-02,Virginia,Madison County,1.0,-6.0,,,2.0,,-1.0
2020-03-02,Virginia,Manassas,4.0,4.0,,2.0,3.0,-1.0,3.25
2020-03-02,Virginia,Manassas Park,,1.0,,,7.0,,4.0
2020-03-02,Virginia,Martinsville,16.0,15.0,,,4.0,,11.666666666666666
2020-03-02,Virginia,Mathews County,,-4.0,,,3.0,,-0.5
2020-03-02,Virginia,Mecklenburg County,8.0,1.0,,11.0,5.0,-2.0,6.25
2020-03-02,Virginia,Middlesex County,,10.0,,,0.0,,5.0
2020-03-02,Virginia,Montgomery County,8.0,7.0,,9.0,15.0,0.0,9.75
2020-03-02,Virginia,Nelson County,,9.0,,,1.0,,5.0
2020-03-02,Virginia,New Kent County,11.0,-4.0,,8.0,4.0,,4.75
2020-03-02,Virginia,Newport News,8.0,11.0,38.0,5.0,6.0,-2.0,13.6
2020-03-02,Virginia,Norfolk,11.0,9.0,30.0,1.0,8.0,-2.0,11.8
2020-03-02,Virginia,Northampton County,11.0,9.0,,,4.0,,8.0
2020-03-02,Virginia,Northumberland County,,-2.0,,,5.0,,1.5
2020-03-02,Virginia,Norton,15.0,,,,,,15.0
2020-03-02,Virginia,Nottoway County,18.0,21.0,,,0.0,,13.0
