Locality,locality_fips,state_name,state_fips,rural_or_non_rural_flag,pct_no_high_school_diploma_loc,cnt_no_high_school_diploma_loc,pct_high_school_grad_loc,cnt_total_high_school_grad_loc,pct_total_high_school_grad_loc,pct_total_high_school_grad_locality_avg,cnt_high_school_grad_loc,pct_Some_College_Associates_loc,cnt_Some_College_Associates_loc,pct_bachelors_degree_+_loc,cnt_bachelors_degree_+_loc,pct_SOL_pass_rate_2019_loc,pct_SOL_pass_rate_white_loc,pct_SOL_pass_rate_black_loc,pct_SOL_pass_rate_asian_loc,pct_SOL_pass_rate_hispanic_loc,pct_high_school_grad_Caucasian_loc,pct_high_school_grad_Black_loc,pct_high_school_grad_Asian_loc,pct_high_school_grad_Hispanic_loc,pct_bachelors_degree_Caucasian_loc,pct_bachelors_degree_Black_loc,pct_bachelors_degree_Asian_loc,pct_bachelors_degree_Hispanic_loc,pct_poverty_education_no_high_school_loc,pct_poverty_education_high_school_loc,pct_poverty_education_bachelors_or_higher_loc,pct_pursuing_HighEd_All,cnt_pursuing_HighEd_All
Surry,51181,Virginia,51,Non-Rural,0.154302671,832,0.371661721,4560,0.845697329,0.897295305,2004,0.276335312,1490,0.197700297,1066,0.79,0.842,0.752,,0.83,0.896,0.793,1,0.878,0.225,0.177,0,0.293,0.245,0.15,0.052,0.66,39
Clarke,51043,Virginia,51,Non-Rural,0.106877567,1223,0.297387049,10220,0.893122433,0.897295305,3403,0.296425762,3392,0.299309622,3425,0.784,0.812,0.7625,0.656666667,0.688,0.922,0.584,0.319,0.751,0.333,0.278,0.149,0.155,0.161,0.102,0.025,0.75,131
Mecklenburg,51117,Virginia,51,Rural,0.180887783,4507,0.328303098,20409,0.819112217,0.897295305,8180,0.304703805,7592,0.186105314,4637,0.786,0.866,0.698,0.815,0.824,0.876,0.722,0.696,0.697,0.256,0.107,0.13,0.122,0.322,0.185,0.07,0.65,186
Augusta,51015,Virginia,51,Rural,0.129816008,7881,0.39228121,52828,0.870183992,0.897295305,23815,0.26015912,15794,0.217743662,13219,0.814,0.828,0.754,0.874,0.718,0.886,0.759,0.923,0.571,0.236,0.053,0.707,0.114,0.163,0.092,0.03,0.58,413
Goochland,51075,Virginia,51,Non-Rural,0.095134273,1789,0.242382345,17016,0.904865727,0.897295305,4558,0.267854294,5037,0.394629088,7421,0.818,0.87,0.656,0.896666667,0.638,0.94,0.812,0.842,0.83,0.474,0.148,0.761,0.308,0.105,0.083,0.026,0.66,142
Madison,51113,Virginia,51,Rural,0.138076114,1444,0.373207114,9014,0.861923886,0.897295305,3903,0.265442723,2776,0.223274049,2335,0.756,0.77,0.658,,0.7125,0.864,0.863,0.6,0.732,0.259,0.005,0.343,0.117,0.175,0.046,0.035,0.56,66
Roanoke County,51161,Virginia,51,Non-Rural,0.082514997,6176,0.260103945,68671,0.917485003,0.897295305,19468,0.323433137,24208,0.33394792,24995,0.854,0.87,0.706,0.934,0.788,0.924,0.938,0.873,0.89,0.355,0.324,0.521,0.215,0.215,0.076,0.018,0.73,740
Brunswick,51025,Virginia,51,Rural,0.200610332,2761,0.369396207,11002,0.799389668,0.897295305,5084,0.306546538,4219,0.123446923,1699,0.652,0.776,0.618,,0.815,0.864,0.729,1,0.537,0.196,0.08,0.091,0.371,0.288,0.167,0.027,0.56,55
Northampton,51131,Virginia,51,Rural,0.16857473,1605,0.34901796,7916,0.83142527,0.897295305,3323,0.270664846,2577,0.211742464,2016,0.65,0.824,0.506,,0.672,0.9,0.704,0.922,0.686,0.316,0.053,0.922,0.109,0.275,0.186,0.028,0.58,62
Rockbridge,51163,Virginia,51,Rural,0.131689458,2446,0.34106816,16128,0.868310542,0.897295305,6335,0.276677075,5139,0.250565306,4654,0.774,0.788,0.614,1,0.646,0.867,0.971,1,0.689,0.268,0.179,0.779,0.189,0.183,0.126,0.075,0.69,152
