,index,date,state,county,census_fips_code,retail,grocery,parks,transit,workplaces,residential,Non_Residential,Non_Residential_7d_Rolling,Residential_7d_Rolling,Minimum_Non_Residential_7d_Rolling,Low_Point_Mobility
0,0,2020-03-02,Virginia,Accomack County,51001.0,9.0,8.0,,,5.0,1.0,7.333333333333333,,,-24.428571428571427,0
1,129,2020-03-03,Virginia,Accomack County,51001.0,18.0,8.0,,,2.0,-2.0,9.333333333333334,,,-24.428571428571427,0
2,258,2020-03-04,Virginia,Accomack County,51001.0,11.0,9.0,,,2.0,-2.0,7.333333333333333,,,-24.428571428571427,0
3,387,2020-03-05,Virginia,Accomack County,51001.0,6.0,8.0,,,3.0,-1.0,5.666666666666667,,,-24.428571428571427,0
4,516,2020-03-06,Virginia,Accomack County,51001.0,1.0,3.0,,,1.0,3.0,1.6666666666666667,,,-24.428571428571427,0
5,645,2020-03-07,Virginia,Accomack County,51001.0,14.0,17.0,,,-4.0,,9.0,,,-24.428571428571427,0
6,768,2020-03-08,Virginia,Accomack County,51001.0,15.0,8.0,,,0.0,,7.666666666666667,6.857142857142857,,-24.428571428571427,0
7,889,2020-03-09,Virginia,Accomack County,51001.0,11.0,14.0,,,1.0,0.0,8.666666666666666,7.047619047619047,,-24.428571428571427,0
8,1018,2020-03-10,Virginia,Accomack County,51001.0,6.0,12.0,,,1.0,0.0,6.333333333333333,6.6190476190476195,,-24.428571428571427,0
9,1147,2020-03-11,Virginia,Accomack County,51001.0,5.0,9.0,,,0.0,-1.0,4.666666666666667,6.238095238095238,,-24.428571428571427,0
10,1276,2020-03-12,Virginia,Accomack County,51001.0,7.0,16.0,,,0.0,-1.0,7.666666666666667,6.523809523809524,,-24.428571428571427,0
11,1405,2020-03-13,Virginia,Accomack County,51001.0,7.0,20.0,,,0.0,0.0,9.0,7.571428571428571,,-24.428571428571427,0
12,1534,2020-03-14,Virginia,Accomack County,51001.0,9.0,31.0,,,24.0,,21.333333333333332,9.333333333333332,,-24.428571428571427,0
13,1657,2020-03-15,Virginia,Accomack County,51001.0,6.0,16.0,,,-7.0,,5.0,8.952380952380953,,-24.428571428571427,0
14,1778,2020-03-16,Virginia,Accomack County,51001.0,3.0,30.0,,,-13.0,4.0,6.666666666666667,8.666666666666666,,-24.428571428571427,0
15,1907,2020-03-17,Virginia,Accomack County,51001.0,-8.0,11.0,,,-15.0,5.0,-4.0,7.19047619047619,,-24.428571428571427,0
16,2038,2020-03-18,Virginia,Accomack County,51001.0,-15.0,9.0,,,-17.0,8.0,-7.666666666666667,5.428571428571428,,-24.428571428571427,0
17,2168,2020-03-19,Virginia,Accomack County,51001.0,-16.0,8.0,,,-18.0,8.0,-8.666666666666666,3.095238095238095,,-24.428571428571427,0
18,2299,2020-03-20,Virginia,Accomack County,51001.0,-17.0,3.0,,,-17.0,10.0,-10.333333333333334,0.33333333333333265,,-24.428571428571427,0
19,2429,2020-03-21,Virginia,Accomack County,51001.0,-24.0,9.0,,,4.0,,-3.6666666666666665,-3.2380952380952386,,-24.428571428571427,0
20,2552,2020-03-22,Virginia,Accomack County,51001.0,-19.0,-6.0,,,-22.0,,-15.666666666666666,-6.190476190476191,,-24.428571428571427,0
21,2674,2020-03-23,Virginia,Accomack County,51001.0,-26.0,-10.0,,,-28.0,15.0,-21.333333333333332,-10.19047619047619,,-24.428571428571427,0
22,2804,2020-03-24,Virginia,Accomack County,51001.0,-20.0,-7.0,,,-22.0,10.0,-16.333333333333332,-11.95238095238095,,-24.428571428571427,0
23,2935,2020-03-25,Virginia,Accomack County,51001.0,-39.0,-19.0,,,-29.0,16.0,-29.0,-15.0,,-24.428571428571427,0
