,state,county,date,variable,value
0,Virginia,Accomack County,2020-03-02,Non_Residential,7.333333333333333
1,Virginia,Accomack County,2020-03-03,Non_Residential,9.333333333333334
2,Virginia,Accomack County,2020-03-04,Non_Residential,7.333333333333333
3,Virginia,Accomack County,2020-03-05,Non_Residential,5.666666666666667
4,Virginia,Accomack County,2020-03-06,Non_Residential,1.6666666666666667
5,Virginia,Accomack County,2020-03-07,Non_Residential,9.0
6,Virginia,Accomack County,2020-03-08,Non_Residential,7.666666666666667
7,Virginia,Accomack County,2020-03-09,Non_Residential,8.666666666666666
8,Virginia,Accomack County,2020-03-10,Non_Residential,6.333333333333333
9,Virginia,Accomack County,2020-03-11,Non_Residential,4.666666666666667
10,Virginia,Accomack County,2020-03-12,Non_Residential,7.666666666666667
11,Virginia,Accomack County,2020-03-13,Non_Residential,9.0
12,Virginia,Accomack County,2020-03-14,Non_Residential,21.333333333333332
13,Virginia,Accomack County,2020-03-15,Non_Residential,5.0
14,Virginia,Accomack County,2020-03-16,Non_Residential,6.666666666666667
15,Virginia,Accomack County,2020-03-17,Non_Residential,-4.0
16,Virginia,Accomack County,2020-03-18,Non_Residential,-7.666666666666667
17,Virginia,Accomack County,2020-03-19,Non_Residential,-8.666666666666666
18,Virginia,Accomack County,2020-03-20,Non_Residential,-10.333333333333334
19,Virginia,Accomack County,2020-03-21,Non_Residential,-3.6666666666666665
20,Virginia,Accomack County,2020-03-22,Non_Residential,-15.666666666666666
21,Virginia,Accomack County,2020-03-23,Non_Residential,-21.333333333333332
22,Virginia,Accomack County,2020-03-24,Non_Residential,-16.333333333333332
23,Virginia,Accomack County,2020-03-25,Non_Residential,-29.0
24,Virginia,Accomack County,2020-03-26,Non_Residential,-21.666666666666668
25,Virginia,Accomack County,2020-03-27,Non_Residential,-25.666666666666668
26,Virginia,Accomack County,2020-03-28,Non_Residential,-19.0
27,Virginia,Accomack County,2020-03-29,Non_Residential,-24.666666666666668
28,Virginia,Accomack County,2020-03-30,Non_Residential,-18.0
29,Virginia,Accomack County,2020-03-31,Non_Residential,-24.333333333333332
30,Virginia,Accomack County,2020-04-01,Non_Residential,-25.333333333333332
31,Virginia,Accomack County,2020-04-02,Non_Residential,-27.0
32,Virginia,Accomack County,2020-04-03,Non_Residential,-26.333333333333332
33,Virginia,Accomack County,2020-04-04,Non_Residential,-16.333333333333332
34,Virginia,Accomack County,2020-04-05,Non_Residential,-24.666666666666668
35,Virginia,Accomack County,2020-04-06,Non_Residential,-25.0
36,Virginia,Accomack County,2020-04-07,Non_Residential,-24.5
37,Virginia,Accomack County,2020-04-08,Non_Residential,-21.0
38,Virginia,Accomack County,2020-04-09,Non_Residential,-22.0
39,Virginia,Accomack County,2020-04-10,Non_Residential,-27.333333333333332
40,Virginia,Accomack County,2020-04-11,Non_Residential,-15.666666666666666
41,Virginia,Accomack County,2020-04-12,Non_Residential,-26.5
42,Virginia,Accomack County,2020-04-13,Non_Residential,-27.5
43,Virginia,Accomack County,2020-04-14,Non_Residential,-18.0
44,Virginia,Accomack County,2020-04-15,Non_Residential,-19.0
45,Virginia,Accomack County,2020-04-16,Non_Residential,-16.5
