,Locality,locality_fips,rural_or_non_rural_flag,pct_no_high_school_diploma_loc,pct_high_school_grad_loc,pct_Some_College_Associates_loc,pct_bachelors_degree_+_loc,Non_Residential_7d_Rolling,max_mob_reduction
0,Surry,51181,Non-Rural,0.154302671,0.371661721,0.276335312,0.197700297,-40.2857142857143,40.2857142857143
1,Clarke,51043,Non-Rural,0.106877567,0.297387049,0.296425762,0.299309622,-46.14285714285715,46.14285714285715
2,Mecklenburg,51117,Rural,0.180887783,0.328303098,0.304703805,0.186105314,-27.535714285714302,27.535714285714302
3,Augusta,51015,Rural,0.129816008,0.39228121,0.26015912,0.217743662,-30.897619047619056,30.897619047619056
4,Goochland,51075,Non-Rural,0.095134273,0.242382345,0.267854294,0.394629088,-46.428571428571445,46.428571428571445
5,Madison,51113,Rural,0.138076114,0.373207114,0.265442723,0.223274049,-39.57142857142859,39.57142857142859
6,Roanoke County,51161,Non-Rural,0.082514997,0.260103945,0.323433137,0.33394792,-32.09523809523812,32.09523809523812
7,Brunswick,51025,Rural,0.200610332,0.369396207,0.306546538,0.123446923,-55.42857142857144,55.42857142857144
8,Northampton,51131,Rural,0.16857473,0.34901796,0.270664846,0.211742464,-33.57142857142859,33.57142857142859
9,Rockbridge,51163,Rural,0.131689458,0.34106816,0.276677075,0.250565306,-31.904761904761923,31.904761904761923
10,Bland,51021,Rural,0.125700411,0.420059768,0.323309675,0.130930146,-29.785714285714292,29.785714285714292
11,Botetourt,51023,Non-Rural,0.078020259,0.330329212,0.3280575,0.263593028,-37.21428571428572,37.21428571428572
12,Carroll,51035,Rural,0.183453981,0.366742503,0.309865564,0.139937952,-29.92857142857144,29.92857142857144
13,Washington,51191,Non-Rural,0.137733499,0.350458508,0.300917016,0.210890977,-30.185714285714305,30.185714285714305
14,Page,51139,Rural,0.163651706,0.462317388,0.244185433,0.129845472,-33.42857142857145,33.42857142857145
15,Arlington,51013,Non-Rural,0.059266169,0.083956497,0.122914897,0.733862437,-59.51428571428572,59.51428571428572
16,Buchanan,51027,Rural,0.284802329,0.357654833,0.246332176,0.111210662,-40.80952380952382,40.80952380952382
17,Stafford,51179,Non-Rural,0.07353891,0.248943513,0.316641754,0.360875824,-31.48809523809526,31.48809523809526
18,Essex,51057,Rural,0.163912003,0.381739428,0.286105095,0.168243474,-33.42857142857144,33.42857142857144
19,Tazewell,51185,Rural,0.17805975,0.361302237,0.319274417,0.141363596,-21.85714285714288,21.85714285714288
20,Sussex,51183,Non-Rural,0.189820609,0.431998331,0.259282436,0.118898623,-41.00000000000002,41.00000000000002
21,Charlotte,51037,Rural,0.172590458,0.406980467,0.321805956,0.098623119,-35.71428571428572,35.71428571428572
22,Greensville,51081,Rural,0.220495936,0.407655109,0.286963679,0.084885276,-34.928571428571445,34.928571428571445
23,Isle of Wight,51093,Non-Rural,0.118739429,0.289496393,0.338234787,0.253529391,-24.452380952380967,24.452380952380967
24,Henry,51089,Rural,0.195487994,0.346388459,0.327193067,0.13093048,-23.71428571428573,23.71428571428573
25,King William,51101,Non-Rural,0.094253408,0.333178439,0.375232342,0.197335812,-39.2857142857143,39.2857142857143
26,Louisa,51109,Non-Rural,0.150291032,0.336481824,0.285002266,0.228224879,-27.857142857142872,27.857142857142872
27,Prince Edward,51147,Rural,0.108699047,0.316570358,0.374251653,0.200478942,-39.14285714285717,39.14285714285717
28,Rockingham,51165,Non-Rural,0.152667478,0.356811195,0.249471628,0.241049699,-26.10714285714288,26.10714285714288
29,James City,51095,Non-Rural,0.054590737,0.191819747,0.283066174,0.470523342,-46.16666666666668,46.16666666666668
30,Russell,51167,Rural,0.189981785,0.384471767,0.307468124,0.118078324,-34.00000000000002,34.00000000000002
31,Smyth,51173,Rural,0.162638693,0.382771838,0.317692153,0.136897317,-28.85714285714288,28.85714285714288
32,Campbell,51031,Non-Rural,0.12549197,0.326419362,0.329676544,0.218412124,-29.476190476190485,29.476190476190485
33,Henrico,51087,Non-Rural,0.088819098,0.223107144,0.279732438,0.40834132,-39.72142857142859,39.72142857142859
34,King George,51099,Rural,0.075579614,0.289806966,0.306608109,0.328005311,-40.09523809523811,40.09523809523811
35,Lancaster,51103,Rural,0.099075297,0.302840159,0.290070454,0.308014091,-31.857142857142872,31.857142857142872
36,Lee,51105,Rural,0.220219195,0.343388303,0.328843593,0.107548909,-34.2857142857143,34.2857142857143
37,Mathews,51115,Non-Rural,0.094863242,0.324349566,0.318212141,0.26257505,-36.2857142857143,36.2857142857143
38,Middlesex,51119,Rural,0.129176444,0.331657168,0.336909152,0.202257235,-33.857142857142875,33.857142857142875
39,Prince George,51149,Non-Rural,0.103169546,0.346235117,0.3387892,0.211806138,-31.57142857142859,31.57142857142859
40,Richmond County,51159,Rural,0.188750676,0.361005949,0.277988102,0.172255273,-31.000000000000025,31.000000000000025
41,Scott,51169,Non-Rural,0.180053697,0.383320282,0.306745721,0.1298803,-39.000000000000014,39.000000000000014
42,Spotsylvania,51177,Non-Rural,0.093750941,0.304023202,0.308408683,0.293817175,-36.09523809523812,36.09523809523812
43,Appomattox,51011,Non-Rural,0.136602735,0.341587764,0.324026867,0.197782633,-32.28571428571429,32.28571428571429
44,Franklin County,51067,Non-Rural,0.117735184,0.350473673,0.32487332,0.206917823,-23.761904761904777,23.761904761904777
45,King and Queen,51097,Non-Rural,0.119781575,0.376959662,0.279725207,0.223533556,-36.000000000000014,36.000000000000014
46,Montgomery,51121,Non-Rural,0.052714749,0.208072474,0.391090363,0.348122414,-41.04761904761906,41.04761904761906
